TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-09-18,2025-09-18,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5400.35,5468.95,5400.05,5438.25,5434.60,5386.00,,5436.10,,,13193,71693234.00,2445,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,800.70,800.70,782.40,786.05,783.10,800.70,,784.80,,,31413,24812921.00,1486,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1037.80,1037.80,1023.95,1030.65,1033.95,1032.45,,1030.95,,,61308,63097276.00,3645,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,31.10,31.99,30.75,30.93,30.76,30.85,,30.93,,,92955,2888059.00,405,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,58.54,61.30,58.00,60.16,60.16,58.01,,60.16,,,231266,13898150.00,1801,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,4.84,4.93,4.84,4.92,4.93,4.89,,4.92,,,9352,46030.00,19,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.35,5.64,5.34,5.47,5.56,5.35,,5.47,,,46552,255110.00,124,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.10,8.42,7.90,8.19,8.19,8.10,,8.19,,,21239,171731.00,69,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,183.70,186.25,182.55,184.75,184.75,183.95,,185.10,,,115004,21170406.00,1677,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,343.35,343.35,324.65,328.90,328.90,330.95,,328.50,,,89,29768.00,30,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6589.00,6589.00,6482.50,6548.80,6545.20,6547.00,,6545.50,,,1442,9447238.00,601,F1,1,,,,,
2025-09-18,2025-09-18,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,36.53,37.00,36.05,36.10,36.10,36.53,,36.10,,,17173,621576.00,131,F1,1,,,,,
