TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-09-02,2024-09-02,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7935.30,7947.70,7645.00,7698.55,7702.00,7942.40,,7699.25,,,13924,108235380.00,2555,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,778.90,812.45,770.00,802.95,802.95,752.45,,803.60,,,23277,18592142.00,1610,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1534.65,1534.65,1499.35,1505.25,1507.70,1521.00,,1503.95,,,21274,32012316.00,2365,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,67.90,67.90,63.50,64.13,64.13,66.50,,64.13,,,174675,11319948.00,911,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,97.49,97.85,96.25,96.83,96.83,96.20,,96.83,,,101973,9890625.00,883,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,9.45,10.15,9.45,9.60,9.78,9.83,,9.60,,,35022,343024.00,71,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.03,8.07,7.86,8.04,8.03,7.92,,8.04,,,45090,358493.00,244,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.68,12.36,11.51,11.81,11.81,11.92,,11.81,,,10521,124014.00,64,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,215.00,216.20,211.40,212.70,212.70,215.90,,212.80,,,90411,19298941.00,1752,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,184.75,184.75,184.00,184.00,184.00,184.75,,182.60,,,16,2951.00,7,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7950.65,8035.85,7825.00,7873.55,7886.00,7950.65,,7875.15,,,897,7106612.00,317,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,33.75,33.76,33.75,33.75,33.75,34.43,,33.75,,,32659,1102311.00,68,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,954.00,968.90,954.00,962.75,964.65,961.75,,962.90,,,3505,3377752.00,547,F1,1,,,,,
2024-09-02,2024-09-02,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,42.95,42.95,41.40,41.64,41.64,42.62,,41.65,,,990430,41437932.00,4610,F1,1,,,,,
